country,year,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,longitude,latitude
Tajikistan,1905,3.671,0.111,0.693,29.797,0.093,0.815,71,39
Turkey,1905,2.857,1.532,0.284,11.528,12.824,2.726,35,39
Turkmenistan,1905,24.135,0.131,0.185,63.788,0.698,6.819,60,40
Ukraine,1905,0.326,11.064,2.735,6.556,2.316,7.923,32,49
United Kingdom,1905,5.989,434.078,1.302,119.214,3.594,3.103,-3,55
United States,1905,3.491,913.479,9.12,17.166,53.853,4.253,-100,40
Uzbekistan,1905,0.257,1.18,30.553,0.093,1.047,27.588,63,42
Vietnam,1905,2.518,0.791,31.045,30.378,41.691,27.588,108,16
Zimbabwe,1905,0.975,0.234,0.572,1.249,3.577,27.588,30,-20
Argentina,1906,0.444,6.254,6.654,0.106,0.115,1.379,-58.382,-34.604
Armenia,1906,3.058,0.077,1.64,64.655,0.339,1.379,45.038,40.069
Australia,1906,0.338,14.18,0.308,1.738,0.18,1.379,151.21,-33.865
Austria,1906,2.294,34.178,15.947,63.994,94.791,3.684,14.55,47.516
Azerbaijan,1906,1.391,0.043,0.136,11.937,1.15,1.21,48.5,41.4
Belarus,1906,0.062,0.557,0.082,0.032,2.051,3.24,27.953,53.71
Belgium,1906,2.001,57.495,0.008,32.327,9.72,1.144,4.47,50.504
Bosnia and Herzegovina,1906,0.262,0.185,0.074,1.62,0.236,1.629,18.294,44.409
Brazil,1906,0.014,3.206,0.012,0.004,2.373,1.469,-46.625,-23.534
Bulgaria,1906,2.532,0.315,0.75,5.504,1.924,1.215,25.486,42.734
Canada,1906,0.975,36.995,1.189,0.775,0.392,2.662,-123.116,49.246
Chile,1906,0.072,2.44,3.033,41.62,0.823,1.687,-70.674,-33.447
China,1906,0.726,17.111,0.083,10.309,37.946,1.435,104.195,35.862
Croatia,1906,0.479,0.201,0.062,0.139,2.755,0.392,15.967,45.815
Czechia,1906,0.741,39.556,0.391,0,3.408,0.232,14.419,50.074
Denmark,1906,0.154,6.544,0.067,0.007,2.582,1.064,12.568,55.676
Estonia,1906,0.07,0.658,0.979,0.744,0.093,0.174,24.754,59.437
Finland,1906,0.097,0.539,0.086,0.169,0.077,0.896,24.946,60.192
France,1906,0.963,136.14,0.6,3.668,0.429,0.998,2.349,48.865
Georgia,1906,0.025,0.223,0.737,0.003,0.412,7.44,44.783,41.717
Germany,1906,1.444,358.709,0.258,3.663,3.228,9.493,13.405,52.52
Greece,1906,1.181,0.26,1.031,2.362,7.874,4.99,21.824,39.074
Hungary,1906,0.6,10.153,0.294,4.9,0.011,1.265,19.04,47.498
Indonesia,1906,110.159,0.986,1.773,87.782,3.466,0.147,106.774,-6.121
Iran,1906,29.659,247.146,11.055,83.814,0.004,0.274,53.688,32.428
Italy,1906,2.084,20.859,2.169,0.011,0.22,2.908,12.496,41.903
Japan,1906,0.711,31.609,1.064,0.177,1.246,7.283,138.253,36.205
Kazakhstan,1906,1.281,4.551,0.757,5.778,0.695,5.799,66.924,48.02
Kyrgyzstan,1906,1.062,0.359,1.408,32.258,0.124,1.93,74.766,41.204
Latvia,1906,0.583,0.159,0.145,0.109,0.226,0.98,25,57
Lithuania,1906,0.635,0.205,4.882,0.034,0.512,0.385,23.904,54.899
Malaysia,1906,0.106,0.037,0.164,0.154,0.533,0.041,112.5,2.5
Mexico,1906,0.117,1.7,3.383,0.317,0.22,0.165,-102,23
Moldova,1906,7.219,0.365,2.771,43.548,0.259,0.311,28.37,47.412
Montenegro,1906,0.183,0.018,0.064,1.356,3.013,0.497,19.3,42.5
Netherlands,1906,0.668,17.444,0.109,1.57,0.612,1.096,5.55,52.317
New Zealand,1906,0.054,3.862,0.511,33.799,2.231,0.91,173,-42
North Korea,1906,3.05,0.048,12.35,28.267,0.025,0.517,127,40
North Macedonia,1906,1.977,0.135,4.721,12.29,2.277,0.446,21.7,41.6
Norway,1906,0.298,4.096,0.08,0.565,0.128,0.374,8,61
Oceania,1906,0.67,18.042,1.975,11.958,0.18,0.55,133.775,-25.274
Peru,1906,0.272,0.213,1.632,0.786,0.216,5.105,-76,-10
Poland,1906,7.39,76.431,2.535,5.614,2.261,5.395,20,52
Portugal,1906,5.816,2.84,4.484,32.425,0.059,4.216,-9.183,38.7
Romania,1906,1.762,0.619,1.365,62.357,2.979,1.305,25,46
Russia,1906,2.799,35.922,1.811,14.487,14.693,4.119,90,60
Serbia,1906,1.385,0.536,0.089,0.031,4.662,8.342,21,44
Slovakia,1906,0.193,12.63,0.032,3.878,0.403,2.496,19.5,48.667
Slovenia,1906,1.039,0.153,0.02,7.341,6.796,0.894,14.817,46.117
South Africa,1906,0.106,11.465,0.102,2.805,1.264,0.869,25,-30
South Korea,1906,4.858,0.003,0.08,9.195,51.226,1.476,128,36
Spain,1906,5.609,13.711,0.093,9.31,0.15,2.479,-4,40
Sweden,1906,0.099,10.963,0.03,0.02,0.33,1.255,16,63
Switzerland,1906,1.295,6.661,0.764,1.7,0.234,0.528,8.333,46.833
Taiwan,1906,0.599,0.275,1.793,5.303,14.001,0.46,121,24
Tajikistan,1906,3.511,0.126,0.683,27.935,0.106,0.818,71,39
Turkey,1906,2.734,1.579,0.284,11.37,12.519,2.729,35,39
Turkmenistan,1906,23.087,0.15,0.187,59.802,0.796,6.824,60,40
Ukraine,1906,0.319,12.627,2.75,6.146,2.634,7.927,32,49
United Kingdom,1906,5.823,449.763,1.286,115.992,3.587,3.108,-3,55
United States,1906,4.47,964.05,9.875,19.016,50.274,4.488,-100,40
Uzbekistan,1906,0.251,1.348,30.114,0.088,1.193,27.588,63,42
Vietnam,1906,2.412,0.835,30.674,29.979,40.773,27.588,108,16
Zimbabwe,1906,0.952,0.253,0.572,1.249,3.504,27.588,30,-20
Argentina,1907,0.429,6.254,6.582,0.093,0.061,1.379,-58.382,-34.604
Armenia,1907,2.919,0.092,1.616,60.345,0.374,1.379,45.038,40.069
Australia,1907,0.34,15.264,0.31,1.707,0.213,1.379,151.21,-33.865
Austria,1907,2.202,42.697,15.758,61.534,88.038,3.653,14.55,47.516
Azerbaijan,1907,1.329,0.052,0.137,11.141,1.284,1.215,48.5,41.4
Belarus,1907,0.06,0.665,0.088,0.03,2.256,3.245,27.953,53.71
Belgium,1907,1.979,58.324,0.009,31.593,8.502,1.162,4.47,50.504
Bosnia and Herzegovina,1907,0.25,0.188,0.074,1.55,0.222,1.628,18.294,44.409
Brazil,1907,0.016,3.451,0.012,0.004,2.292,1.468,-46.625,-23.534
Bulgaria,1907,2.42,0.454,0.742,5.413,1.893,1.214,25.486,42.734
Canada,1907,0.97,46.375,1.191,0.743,0.616,2.667,-123.116,49.246
Chile,1907,0.071,2.18,2.97,40.652,0.804,1.684,-70.674,-33.447
China,1907,0.695,16.84,0.094,10.075,36.049,1.433,104.195,35.862
Croatia,1907,0.475,0.204,0.061,0.133,2.605,0.39,15.967,45.815
Czechia,1907,0.727,41.572,0.392,0.001,2.983,0.263,14.419,50.074
Denmark,1907,0.164,5.833,0.067,0.007,2.636,1.061,12.568,55.676
Estonia,1907,0.07,0.744,0.967,0.694,0.097,0.174,24.754,59.437
Finland,1907,0.099,0.802,0.086,0.179,0.084,0.899,24.946,60.192
France,1907,1.014,145.182,0.672,3.566,0.414,1.045,2.349,48.865
Georgia,1907,0.024,0.263,0.727,0.003,0.448,7.458,44.783,41.717
Germany,1907,1.551,438.724,0.271,3.533,3.459,9.51,13.405,52.52
Greece,1907,1.128,0.429,1.018,2.333,7.449,4.942,21.824,39.074
Hungary,1907,0.582,10.197,0.295,4.712,0.007,1.266,19.04,47.498
Indonesia,1907,105.373,1.066,1.801,81.939,4.228,0.148,106.774,-6.121
Iran,1907,28.787,239.662,11.067,82.116,0.03,0.275,53.688,32.428
Italy,1907,2.058,22.534,2.192,0.011,0.264,2.932,12.496,41.903
Japan,1907,0.765,33.599,1.048,0.162,1.473,7.337,138.253,36.205
Kazakhstan,1907,1.224,5.15,0.762,5.393,0.725,5.764,66.924,48.02
Kyrgyzstan,1907,1.014,0.41,1.39,30.107,0.131,1.924,74.766,41.204
Latvia,1907,0.558,0.186,0.144,0.102,0.245,0.975,25,57
Lithuania,1907,0.607,0.243,4.812,0.032,0.56,0.386,23.904,54.899
Malaysia,1907,0.104,0.088,0.165,0.153,0.447,0.041,112.5,2.5
Mexico,1907,0.116,1.792,3.367,0.315,0.473,0.165,-102,23
Moldova,1907,6.891,0.423,2.73,40.645,0.277,0.312,28.37,47.412
Montenegro,1907,0.182,0.019,0.063,1.349,2.825,0.498,19.3,42.5
Netherlands,1907,0.643,17.965,0.109,1.533,0.612,1.097,5.55,52.317
New Zealand,1907,0.056,4.085,0.503,33.274,2.141,0.905,173,-42
North Korea,1907,2.945,0.082,12.286,28.134,0.034,0.517,127,40
North Macedonia,1907,1.888,0.137,4.657,12.156,2.136,0.445,21.7,41.6
Norway,1907,0.29,4.646,0.082,0.575,0.136,0.374,8,61
Oceania,1907,0.661,19.35,1.944,11.744,0.213,0.575,133.775,-25.274
Peru,1907,0.26,0.492,1.632,0.786,0.306,5.106,-76,-10
Philippines,1907,3.802,0.007,0.189,15.829,31.97,5.249,122,13
Poland,1907,7.079,83.741,2.555,5.253,3.455,5.396,20,52
Portugal,1907,5.553,3.096,4.432,32.049,0.066,4.172,-9.183,38.7
Romania,1907,1.689,1.034,1.363,57.58,3.524,1.309,25,46
Russia,1907,2.699,41.17,1.991,13.523,15.524,4.519,90,60
Serbia,1907,1.328,0.546,0.089,0.03,4.373,8.327,21,44
Slovakia,1907,0.194,13.274,0.031,3.71,0.353,2.482,19.5,48.667
Slovenia,1907,0.996,0.156,0.02,7.022,6.375,0.886,14.817,46.117
South Africa,1907,0.109,12.652,0.102,2.813,1.348,0.874,25,-30
South Korea,1907,4.685,0.005,0.08,9.082,50.073,1.481,128,36
Spain,1907,5.389,14.018,0.093,7.986,0.077,2.485,-4,40
Sweden,1907,0.105,12.428,0.033,0.022,0.344,1.247,16,63
Switzerland,1907,1.25,7.757,0.755,1.666,0.242,0.525,8.333,46.833
Taiwan,1907,0.585,0.359,1.784,5.026,13.55,0.463,121,24
Tajikistan,1907,3.352,0.147,0.674,26.072,0.113,0.821,71,39
Turkey,1907,2.611,1.88,0.283,11.213,12.214,2.732,35,39
Turkmenistan,1907,22.039,0.179,0.189,55.815,0.88,6.828,60,40
Ukraine,1907,0.311,14.337,2.765,5.737,2.757,7.932,32,49
United Kingdom,1907,5.658,469.923,1.269,112.77,3.646,3.112,-3,55
United States,1907,4.601,1115.249,10.631,19.866,66.688,4.722,-100,40
Uzbekistan,1907,0.245,1.567,29.675,0.082,1.278,27.588,63,42
Vietnam,1907,2.306,0.85,30.302,29.579,39.854,27.588,108,16
Zimbabwe,1907,0.928,0.278,0.572,1.249,3.43,27.588,30,-20
Argentina,1908,0.415,7.61,6.51,0.081,0.007,1.379,-58.382,-34.604
Armenia,1908,2.781,0.093,1.592,56.035,0.376,1.379,45.038,40.069
Australia,1908,0.342,16.565,0.311,1.676,0.191,1.379,151.21,-33.865
Austria,1908,2.109,60.031,15.569,59.073,81.284,3.623,14.55,47.516
Azerbaijan,1908,1.267,0.052,0.139,10.345,1.292,1.219,48.5,41.4
Belarus,1908,0.059,0.672,0.094,0.028,2.267,3.249,27.953,53.71
Belgium,1908,1.956,57.847,0.01,30.858,7.284,1.18,4.47,50.504
Bosnia and Herzegovina,1908,0.239,0.202,0.073,1.479,0.208,1.627,18.294,44.409
Brazil,1908,0.017,3.594,0.012,0.004,2.21,1.467,-46.625,-23.534
Bulgaria,1908,2.307,0.597,0.735,5.322,1.861,1.214,25.486,42.734
Canada,1908,0.966,46.819,1.193,0.711,0.59,2.672,-123.116,49.246
Chile,1908,0.07,2.459,2.907,39.684,0.785,1.682,-70.674,-33.447
China,1908,0.664,22.731,0.105,9.841,34.152,1.431,104.195,35.862
Croatia,1908,0.471,0.22,0.061,0.127,2.455,0.388,15.967,45.815
Czechia,1908,0.712,42.339,0.393,0.001,2.557,0.293,14.419,50.074
Denmark,1908,0.175,7.236,0.066,0.008,2.69,1.058,12.568,55.676
Estonia,1908,0.069,0.749,0.954,0.644,0.097,0.173,24.754,59.437
Finland,1908,0.101,1.315,0.087,0.189,0.092,0.902,24.946,60.192
France,1908,1.066,146.315,0.745,3.464,0.399,1.092,2.349,48.865
Georgia,1908,0.023,0.266,0.717,0.002,0.45,7.475,44.783,41.717
Germany,1908,1.659,442.981,0.285,3.403,3.66,9.527,13.405,52.52
Greece,1908,1.075,0.729,1.005,2.305,7.024,4.894,21.824,39.074
Hungary,1908,0.565,10.765,0.295,4.523,0.007,1.267,19.04,47.498
Indonesia,1908,100.587,1.136,1.829,76.097,4.356,0.149,106.774,-6.121
Iran,1908,27.916,232.179,11.079,80.417,0.057,0.276,53.688,32.428
Italy,1908,2.033,22.951,2.214,0.011,0.3,2.955,12.496,41.903
Japan,1908,0.819,36.116,1.032,0.147,1.517,7.39,138.253,36.205
Kazakhstan,1908,1.168,5.186,0.766,5.008,0.725,5.729,66.924,48.02
Kyrgyzstan,1908,0.966,0.414,1.371,27.957,0.131,1.919,74.766,41.204
Latvia,1908,0.532,0.188,0.143,0.094,0.245,0.97,25,57
Lithuania,1908,0.579,0.246,4.742,0.03,0.562,0.387,23.904,54.899
Malaysia,1908,0.103,0.092,0.166,0.153,0.361,0.041,112.5,2.5
Mexico,1908,0.116,2.052,3.351,0.313,1.718,0.166,-102,23
Moldova,1908,6.564,0.427,2.69,37.742,0.277,0.313,28.37,47.412
Montenegro,1908,0.181,0.02,0.063,1.342,2.636,0.499,19.3,42.5
Netherlands,1908,0.619,18.316,0.108,1.496,0.605,1.098,5.55,52.317
New Zealand,1908,0.059,4.151,0.496,32.749,2.052,0.9,173,-42
North Korea,1908,2.84,0.115,12.223,28.001,0.043,0.516,127,40
North Macedonia,1908,1.8,0.148,4.594,12.023,1.996,0.445,21.7,41.6
Norway,1908,0.282,5.518,0.084,0.584,0.198,0.373,8,61
Oceania,1908,0.652,20.716,1.914,11.531,0.191,0.601,133.775,-25.274
Peru,1908,0.249,0.827,1.632,0.785,0.386,5.108,-76,-10
Philippines,1908,3.622,0.018,0.209,15.64,31.252,5.25,122,13
Poland,1908,6.768,87.753,2.576,4.892,5.269,5.398,20,52
Portugal,1908,5.29,3.078,4.38,31.672,0.066,4.128,-9.183,38.7
Romania,1908,1.616,0.893,1.361,52.803,3.493,1.314,25,46
Russia,1908,2.598,41.498,2.171,12.559,15.544,4.92,90,60
Serbia,1908,1.271,0.587,0.089,0.028,4.084,8.313,21,44
Slovakia,1908,0.196,13.519,0.031,3.541,0.303,2.467,19.5,48.667
Slovenia,1908,0.952,0.167,0.02,6.703,5.954,0.879,14.817,46.117
South Africa,1908,0.112,13.007,0.102,2.82,1.431,0.879,25,-30
South Korea,1908,4.512,0.006,0.079,8.969,48.92,1.487,128,36
Spain,1908,5.168,14.696,0.094,6.663,0.088,2.49,-4,40
Sweden,1908,0.111,13.201,0.037,0.024,0.443,1.239,16,63
Switzerland,1908,1.205,7.753,0.746,1.632,0.253,0.522,8.333,46.833
Taiwan,1908,0.571,0.41,1.775,4.749,13.098,0.466,121,24
Tajikistan,1908,3.192,0.148,0.665,24.21,0.114,0.824,71,39
Turkey,1908,2.488,1.722,0.282,11.056,11.909,2.735,35,39
Turkmenistan,1908,20.991,0.182,0.191,51.828,0.884,6.833,60,40
Ukraine,1908,0.303,14.44,2.78,5.328,2.759,7.936,32,49
United Kingdom,1908,5.492,457.846,1.252,109.548,4.118,3.116,-3,55
United States,1908,4.684,959.763,11.386,19.665,71.547,4.957,-100,40
Uzbekistan,1908,0.239,1.581,29.237,0.077,1.282,27.588,63,42
Venezuela,1908,0.952,0.004,19.81,23.23,0.081,27.588,-65,7
Vietnam,1908,2.2,0.92,29.931,29.18,38.936,27.588,108,16
Zimbabwe,1908,0.905,0.396,0.572,1.249,3.357,27.588,30,-20
Argentina,1909,0.4,5.925,6.438,0.068,0.011,1.379,-58.382,-34.604
Armenia,1909,2.642,0.097,1.568,51.724,0.398,1.379,45.038,40.069
Australia,1909,0.343,14.33,0.313,1.645,0.224,1.379,151.21,-33.865
Austria,1909,2.016,43.642,15.381,56.613,74.531,3.592,14.55,47.516
Azerbaijan,1909,1.205,0.054,0.14,9.55,1.365,1.224,48.5,41.4
Belarus,1909,0.058,0.7,0.1,0.026,2.403,3.254,27.953,53.71
Belgium,1909,1.933,57.763,0.011,30.124,6.066,1.198,4.47,50.504
Bosnia and Herzegovina,1909,0.227,0.208,0.072,1.409,0.194,1.626,18.294,44.409
Brazil,1909,0.018,3.609,0.012,0.004,2.129,1.466,-46.625,-23.534
Bulgaria,1909,2.194,0.605,0.728,5.23,1.83,1.213,25.486,42.734
Canada,1909,0.961,45.214,1.194,0.68,0.172,2.677,-123.116,49.246
Chile,1909,0.069,2.352,2.843,38.717,0.767,1.68,-70.674,-33.447
China,1909,0.633,20.837,0.116,9.607,32.255,1.429,104.195,35.862
Croatia,1909,0.466,0.226,0.06,0.122,2.305,0.386,15.967,45.815
Czechia,1909,0.698,42.081,0.394,0.001,2.132,0.323,14.419,50.074
Denmark,1909,0.185,8.006,0.066,0.008,2.744,1.055,12.568,55.676
Estonia,1909,0.068,0.789,0.941,0.595,0.104,0.173,24.754,59.437
Finland,1909,0.103,1.184,0.087,0.199,0.099,0.904,24.946,60.192
France,1909,1.118,149.711,0.818,3.362,0.385,1.139,2.349,48.865
Georgia,1909,0.022,0.277,0.708,0.002,0.478,7.492,44.783,41.717
Germany,1909,1.767,442.135,0.298,3.273,3.437,9.544,13.405,52.52
Greece,1909,1.023,0.561,0.993,2.276,6.6,4.846,21.824,39.074
Hungary,1909,0.547,11.842,0.296,4.335,0.011,1.268,19.04,47.498
Indonesia,1909,95.8,1.312,1.857,70.254,4.675,0.15,106.774,-6.121
Iran,1909,27.045,224.696,11.091,78.719,0.083,0.277,53.688,32.428
Italy,1909,2.007,25.359,2.236,0.015,0.33,2.979,12.496,41.903
Japan,1909,0.873,36.904,1.016,0.132,1.352,7.444,138.253,36.205
Kazakhstan,1909,1.111,5.462,0.771,4.623,0.778,5.694,66.924,48.02
Kyrgyzstan,1909,0.918,0.435,1.352,25.806,0.14,1.914,74.766,41.204
Latvia,1909,0.506,0.196,0.142,0.087,0.261,0.965,25,57
Lithuania,1909,0.551,0.256,4.671,0.027,0.597,0.389,23.904,54.899
Malaysia,1909,0.101,0.169,0.166,0.152,0.275,0.04,112.5,2.5
Mexico,1909,0.115,2.466,3.335,0.311,1.227,0.167,-102,23
Moldova,1909,6.236,0.447,2.649,34.839,0.296,0.314,28.37,47.412
Montenegro,1909,0.18,0.021,0.062,1.335,2.448,0.5,19.3,42.5
Netherlands,1909,0.594,19.313,0.108,1.459,0.605,1.099,5.55,52.317
New Zealand,1909,0.061,4.265,0.488,32.224,1.963,0.895,173,-42
North Korea,1909,2.735,0.149,12.159,27.868,0.051,0.516,127,40
North Macedonia,1909,1.712,0.152,4.53,11.89,1.855,0.444,21.7,41.6
Norway,1909,0.274,5.569,0.086,0.593,0.194,0.372,8,61
Oceania,1909,0.644,18.595,1.883,11.317,0.224,0.627,133.775,-25.274
Peru,1909,0.238,0.934,1.631,0.784,0.575,5.109,-76,-10
Philippines,1909,3.443,0.055,0.23,15.452,30.535,5.251,122,13
Poland,1909,6.456,89.134,2.596,4.531,6.401,5.399,20,52
Portugal,1909,5.028,3.129,4.328,31.295,0.066,4.085,-9.183,38.7
Romania,1909,1.544,0.697,1.359,48.026,4.162,1.319,25,46
Russia,1909,2.497,43.583,2.351,11.595,16.632,5.321,90,60
Serbia,1909,1.214,0.603,0.089,0.027,3.795,8.299,21,44
Slovakia,1909,0.197,13.436,0.031,3.372,0.253,2.453,19.5,48.667
Slovenia,1909,0.908,0.172,0.02,6.384,5.533,0.871,14.817,46.117
South Africa,1909,0.115,14.975,0.102,2.828,1.515,0.885,25,-30
South Korea,1909,4.339,0.008,0.079,8.856,47.767,1.492,128,36
Spain,1909,4.948,15.048,0.095,5.339,0.117,2.495,-4,40
Sweden,1909,0.11,12.128,0.04,0.025,0.432,1.231,16,63
Switzerland,1909,1.161,7.819,0.737,1.598,0.249,0.518,8.333,46.833
Taiwan,1909,0.557,0.487,1.766,4.472,12.647,0.469,121,24
Tajikistan,1909,3.033,0.155,0.656,22.348,0.121,0.827,71,39
Trinidad and Tobago,1909,0.323,12.259,1.539,0.108,0.026,2.094,-61.1,10.6
Turkey,1909,2.365,1.957,0.281,10.898,11.603,2.738,35,39
Turkmenistan,1909,19.943,0.189,0.193,47.842,0.936,6.837,60,40
Ukraine,1909,0.296,15.198,2.795,4.918,2.958,7.941,32,49
United Kingdom,1909,5.326,461.796,1.235,106.326,4.291,3.121,-3,55
United States,1909,5.914,1066.609,12.142,23.508,73.236,5.192,-100,40
Uzbekistan,1909,0.233,1.655,28.798,0.071,1.367,27.588,63,42
Vietnam,1909,2.094,1.019,29.56,28.78,38.018,27.588,108,16
Zimbabwe,1909,0.881,0.41,0.572,1.249,3.284,27.588,30,-20
Argentina,1910,0.385,8.896,6.367,0.055,0.011,1.379,-58.382,-34.604
Armenia,1910,2.503,0.089,1.545,47.414,0.396,1.379,45.038,40.069
Australia,1910,0.345,17.437,0.315,1.614,0.463,1.379,151.21,-33.865
Austria,1910,1.924,58.785,15.192,54.153,67.778,3.561,14.55,47.516
Azerbaijan,1910,1.142,0.049,0.141,8.754,1.342,1.228,48.5,41.4
Belarus,1910,0.056,0.647,0.106,0.024,2.396,3.258,27.953,53.71
Belgium,1910,1.911,61.288,0.012,29.389,4.848,1.216,4.47,50.504
Bosnia and Herzegovina,1910,0.216,0.206,0.072,1.339,0.18,1.625,18.294,44.409
Brazil,1910,0.02,4.199,0.012,0.004,2.047,1.465,-46.625,-23.534
Bulgaria,1910,2.082,0.634,0.72,5.139,1.799,1.212,25.486,42.734
Canada,1910,0.956,50.86,1.196,0.648,0.762,2.682,-123.116,49.246
Chile,1910,0.069,2.81,2.78,37.749,0.748,1.678,-70.674,-33.447
China,1910,0.601,18.749,0.127,9.373,30.358,1.426,104.195,35.862
Croatia,1910,0.462,0.223,0.06,0.116,2.155,0.384,15.967,45.815
Czechia,1910,0.683,41.642,0.394,0.001,1.707,0.354,14.419,50.074
Denmark,1910,0.196,7.35,0.066,0.008,2.798,1.053,12.568,55.676
Estonia,1910,0.067,0.767,0.929,0.545,0.109,0.173,24.754,59.437
Finland,1910,0.104,0.96,0.087,0.21,0.103,0.907,24.946,60.192
France,1910,1.169,150.246,0.89,3.261,0.366,1.186,2.349,48.865
Georgia,1910,0.022,0.259,0.698,0.002,0.482,7.509,44.783,41.717
Germany,1910,1.874,441.827,0.312,3.143,3.539,9.561,13.405,52.52
Greece,1910,0.97,0.718,0.98,2.247,6.175,4.798,21.824,39.074
Hungary,1910,0.529,11.666,0.296,4.147,0.011,1.269,19.04,47.498
Indonesia,1910,91.014,1.44,1.885,64.412,4.672,0.152,106.774,-6.121
Iran,1910,26.173,217.213,11.103,77.02,0.11,0.278,53.688,32.428
Ireland,1910,3.355,0.216,33.795,27.872,151.173,0.504,-8.244,53.413
Italy,1910,1.981,25.395,2.259,0.015,0.326,3.002,12.496,41.903
Japan,1910,0.927,38.597,1,0.118,0.788,7.497,138.253,36.205
Kazakhstan,1910,1.055,5.305,0.775,4.238,0.814,5.659,66.924,48.02
Kyrgyzstan,1910,0.87,0.418,1.334,23.656,0.145,1.909,74.766,41.204
Latvia,1910,0.481,0.184,0.141,0.08,0.264,0.96,25,57
Lithuania,1910,0.523,0.238,4.601,0.025,0.598,0.39,23.904,54.899
Malaysia,1910,0.099,0.234,0.167,0.151,0.19,0.04,112.5,2.5
Mexico,1910,0.115,2.561,3.319,0.308,1.594,0.168,-102,23
Moldova,1910,5.908,0.425,2.609,31.935,0.304,0.315,28.37,47.412
Montenegro,1910,0.179,0.02,0.061,1.328,2.26,0.501,19.3,42.5
Netherlands,1910,0.57,20.225,0.107,1.421,0.608,1.1,5.55,52.317
New Zealand,1910,0.063,4.902,0.48,31.699,1.874,0.889,173,-42
North Korea,1910,2.629,0.187,12.096,27.735,0.06,0.515,127,40
North Macedonia,1910,1.623,0.15,4.466,11.757,1.714,0.443,21.7,41.6
Norway,1910,0.266,5.741,0.088,0.602,0.198,0.372,8,61
Oceania,1910,0.635,22.339,1.853,11.104,0.214,0.653,133.775,-25.274
Peru,1910,0.227,0.813,1.631,0.784,0.517,5.11,-76,-10
Philippines,1910,3.263,0.051,0.25,15.264,29.818,5.253,122,13
Poland,1910,6.145,89.127,2.616,4.17,5.419,5.4,20,52
Portugal,1910,4.765,3.184,4.276,30.919,0.066,4.041,-9.183,38.7
Romania,1910,1.471,0.747,1.356,43.249,4.071,1.324,25,46
Russia,1910,2.396,41.841,2.531,10.631,17.211,5.721,90,60
Serbia,1910,1.157,0.597,0.089,0.026,3.506,8.285,21,44
Slovakia,1910,0.198,13.296,0.031,3.204,0.203,2.439,19.5,48.667
Slovenia,1910,0.864,0.17,0.02,6.065,5.112,0.864,14.817,46.117
South Africa,1910,0.119,16.979,0.102,2.835,1.599,0.89,25,-30
South Korea,1910,4.165,0.01,0.079,8.742,46.614,1.497,128,36
Spain,1910,4.728,14.799,0.096,4.015,0.095,2.501,-4,40
Sweden,1910,0.128,12.56,0.044,0.027,0.429,1.223,16,63
Switzerland,1910,1.116,7.53,0.728,1.564,0.26,0.515,8.333,46.833
Taiwan,1910,0.543,0.616,1.756,4.196,12.196,0.472,121,24
Tajikistan,1910,2.873,0.147,0.646,20.486,0.124,0.83,71,39
Trinidad and Tobago,1910,0.316,11.961,1.545,0.109,0.066,2.097,-61.1,10.6
Turkey,1910,2.242,1.883,0.281,10.741,11.298,2.741,35,39
Turkmenistan,1910,18.895,0.174,0.195,43.855,0.93,6.842,60,40
Ukraine,1910,0.288,14.717,2.811,4.509,3.088,7.945,32,49
United Kingdom,1910,5.16,465.592,1.218,103.104,4.14,3.125,-3,55
United States,1910,6.912,1160.396,12.898,24.901,83.931,5.426,-100,40
Uzbekistan,1910,0.227,1.568,28.359,0.066,1.396,27.588,63,42
Vietnam,1910,1.988,1.323,29.188,28.381,37.1,27.588,108,16
Zimbabwe,1910,0.858,0.432,0.572,1.249,3.21,27.588,30,-20
Argentina,1911,0.37,9.937,6.295,0.042,0.007,1.379,-58.382,-34.604
Armenia,1911,2.365,0.103,1.521,43.104,0.401,1.379,45.038,40.069
Australia,1911,0.347,19.24,0.317,1.583,0.703,1.379,151.21,-33.865
Austria,1911,1.831,49.142,15.003,51.692,61.025,3.531,14.55,47.516
Azerbaijan,1911,1.08,0.058,0.143,7.958,1.385,1.233,48.5,41.4
Belarus,1911,0.055,0.74,0.112,0.021,2.414,3.263,27.953,53.71
Belgium,1911,1.888,61.687,0.013,28.654,3.63,1.234,4.47,50.504
Bosnia and Herzegovina,1911,0.204,0.223,0.071,1.268,0.166,1.624,18.294,44.409
Brazil,1911,0.021,4.606,0.012,0.004,1.965,1.464,-46.625,-23.534
Bulgaria,1911,1.969,0.898,0.713,5.048,1.767,1.211,25.486,42.734
Canada,1911,0.951,58.686,1.198,0.616,0.967,2.687,-123.116,49.246
Chile,1911,0.068,3.107,2.716,36.781,0.73,1.676,-70.674,-33.447
China,1911,0.57,27.846,0.138,9.139,28.461,1.424,104.195,35.862
Croatia,1911,0.458,0.242,0.059,0.11,2.005,0.381,15.967,45.815
Czechia,1911,0.668,42.17,0.395,0.001,1.281,0.384,14.419,50.074
Denmark,1911,0.206,7.83,0.065,0.009,2.852,1.05,12.568,55.676
Egypt,1911,2.089,1.89,1.205,1.161,0.011,0.282,30.802,26.821
Estonia,1911,0.066,0.807,0.916,0.496,0.101,0.172,24.754,59.437
